RAW,Filter Short,Filter Long
RAW,Filter Short,Filter Long
0.8,0.8,0.8
6.92,3.86,3.86
9.31,5.676666666666667,5.676666666666667
11.97,7.25,7.25
13.03,8.406,8.406
13.03,9.176666666666668,9.176666666666668
13.83,9.84142857142857,9.84142857142857
13.83,10.34,10.34
14.1,10.757777777777777,10.757777777777777
14.1,11.091999999999999,11.091999999999999
14.36,11.389090909090909,11.389090909090909
14.36,11.636666666666665,11.636666666666665
14.63,11.866923076923076,11.866923076923076
14.63,12.064285714285713,12.064285714285713
14.63,12.235333333333331,12.235333333333331
14.9,12.401874999999999,12.401874999999999
15.16,12.564117647058822,12.564117647058822
15.16,12.708333333333332,12.708333333333332
15.43,12.85157894736842,12.85157894736842
15.69,12.993500000000001,12.993500000000001
15.96,13.134761904761904,13.134761904761904
16.23,13.275454545454545,13.275454545454545
16.49,13.415217391304349,13.415217391304349
16.49,13.543333333333335,13.543333333333335
16.76,13.672,13.672
17.02,13.80076923076923,13.80076923076923
17.02,13.92,13.92
17.02,14.030714285714284,14.030714285714284
17.29,14.14310344827586,14.14310344827586
17.29,14.248,14.248
17.56,14.806666666666667,14.35483870967742
17.82,15.169999999999998,14.463125
17.82,15.453666666666665,14.564848484848484
18.09,15.657666666666666,14.668529411764705
18.09,15.82633333333333,14.766285714285713
18.09,15.994999999999997,14.85861111111111
18.09,16.136999999999993,14.945945945945946
18.35,16.287666666666663,15.035526315789474
18.62,16.43833333333333,15.127435897435898
18.62,16.589,15.21475
18.62,16.731,15.297804878048781
18.89,16.881999999999998,15.383333333333335
18.89,17.023999999999997,15.464883720930233
18.89,17.165999999999997,15.542727272727273
18.89,17.307999999999996,15.617111111111111
18.89,17.440999999999995,15.688260869565216
18.89,17.56533333333333,15.756382978723403
18.89,17.68966666666666,15.821666666666665
19.15,17.813666666666663,15.889591836734692
19.15,17.92899999999999,15.954799999999999
19.15,18.035333333333327,16.017450980392155
19.15,18.13266666666666,16.077692307692306
19.15,18.22133333333333,16.135660377358487
19.15,18.30999999999999,16.19148148148148
19.15,18.389666666666656,16.245272727272724
19.15,18.460666666666658,16.297142857142852
19.15,18.531666666666656,16.347192982456136
19.15,18.602666666666657,16.395517241379306
19.15,18.66466666666666,16.442203389830503
18.89,18.717999999999993,16.482999999999993
18.62,18.753333333333323,16.51803278688524
18.62,18.77999999999999,16.55193548387096
18.89,18.815666666666655,16.589047619047612
19.15,18.85099999999999,16.629062499999996
18.09,18.850999999999992,16.651538461538458
18.62,18.868666666666662,16.68136363636363
17.29,18.841999999999988,16.690447761194022
18.35,18.84199999999999,16.714852941176463
18.89,18.850999999999992,16.746376811594196
18.62,18.850999999999996,16.773142857142847
18.35,18.842,16.795352112676046
18.09,18.81533333333333,16.813333333333322
18.35,18.79733333333333,16.834383561643826
18.35,18.779333333333337,16.85486486486485
17.82,18.74366666666667,16.86773333333332
18.09,18.717000000000002,16.88381578947367
18.62,18.708000000000006,16.906363636363622
18.35,18.69,16.92487179487178
18.09,18.65466666666667,16.93962025316454
18.09,18.619333333333334,16.953999999999983
18.62,18.601666666666674,16.97456790123455
18.35,18.575000000000003,16.991341463414614
18.35,18.548333333333336,17.007710843373474
18.09,18.512999999999998,17.02059523809522
18.09,18.477666666666668,17.033176470588213
18.35,18.451000000000004,17.048488372093
18.62,18.433333333333334,17.066551724137906
18.89,18.424666666666667,17.087272727272705
18.35,18.398000000000003,17.10146067415728
18.35,18.38,17.11533333333331
18.89,18.389,17.134835164835142
18.62,18.389,17.150978260869543
18.89,18.389,17.169677419354816
18.89,18.380333333333333,17.187978723404235
18.62,18.398000000000003,17.203052631578924
18.09,18.380333333333336,17.212291666666644
18.35,18.415666666666667,17.22402061855668
18.35,18.415666666666667,17.23551020408161
18.62,18.406666666666663,17.249494949494924
18.35,18.39766666666667,17.260499999999976
18.09,18.389000000000003,17.268712871287104
18.35,18.39766666666667,17.27931372549017
18.09,18.389000000000006,17.28718446601939
18.35,18.389000000000003,17.29740384615382
18.09,18.398000000000007,17.304952380952354
18.62,18.415666666666667,17.317358490566008
18.35,18.40666666666667,17.327009345794362
18.89,18.424666666666667,17.341481481481452
18.35,18.433333333333334,17.3507339449541
18.09,18.433333333333337,17.357454545454516
18.35,18.424333333333333,17.366396396396365
18.89,18.442333333333337,17.37999999999997
18.35,18.442333333333334,17.38858407079643
18.89,18.469,17.401754385964885
18.35,18.477666666666664,17.40999999999997
18.62,18.486666666666668,17.42043103448273
18.09,18.469,17.426153846153817
18.35,18.451000000000004,17.433983050847427
18.89,18.469,17.446218487394926
18.35,18.469,17.453749999999967
18.35,18.451000000000004,17.461157024793355
18.09,18.433333333333337,17.466311475409807
18.09,18.406666666666673,17.471382113821107
18.62,18.39766666666667,17.480645161290294
17.82,18.371000000000002,17.483359999999973
18.62,18.38866666666667,17.492380952380923
18.09,18.380000000000003,17.4970866141732
18.35,18.380000000000003,17.50374999999997
18.62,18.380000000000003,17.512403100775163
18.62,18.389,17.520923076923047
18.89,18.415666666666667,17.531374045801495
18.35,18.415666666666663,17.537575757575727
18.09,18.41566666666667,17.541729323308243
18.62,18.424666666666667,17.549776119402956
18.35,18.433333333333337,17.555703703703674
18.35,18.424333333333333,17.561544117647028
18.62,18.433333333333334,17.56927007299267
18.89,18.433333333333334,17.578840579710114
18.62,18.442333333333334,17.586330935251766
18.62,18.46,17.593714285714253
18.62,18.469,17.600992907801384
18.09,18.442333333333337,17.604436619718278
18.62,18.451333333333334,17.61153846153843
18.35,18.433333333333337,17.61666666666663
18.89,18.45133333333333,17.625448275862034
19.15,18.468999999999998,17.635890410958872
18.89,18.49566666666667,17.64442176870745
18.09,18.487000000000005,17.6474324324324
18.35,18.469000000000005,17.65214765100668
18.35,18.469,17.656799999999965
18.62,18.478,17.77559999999997
18.62,18.49566666666667,17.853599999999968
18.62,18.513333333333332,17.91566666666663
18.62,18.513333333333332,17.959999999999965
18.35,18.531000000000002,17.99546666666663
19.15,18.54866666666667,18.03626666666663
18.89,18.575333333333333,18.069999999999965
18.62,18.584333333333337,18.101933333333296
18.35,18.575333333333337,18.13026666666663
19.42,18.601999999999997,18.165733333333296
18.89,18.601999999999997,18.195933333333294
18.35,18.602,18.222533333333292
17.82,18.593000000000007,18.24379999999996
18.62,18.593000000000007,18.27039999999996
18.35,18.593000000000007,18.29519999999996
18.89,18.611,18.321799999999957
18.62,18.611,18.344866666666626
18.62,18.602,18.36793333333329
18.35,18.593000000000004,18.387399999999957
18.62,18.593000000000004,18.406933333333292
18.89,18.602,18.426466666666627
18.62,18.619666666666667,18.44239999999996
18.62,18.61966666666667,18.45659999999996
18.09,18.611000000000004,18.467266666666625
18.89,18.611,18.481466666666627
18.09,18.57566666666667,18.48859999999996
18.62,18.56666666666667,18.499266666666628
18.89,18.593333333333337,18.511733333333297
18.35,18.59333333333333,18.518799999999963
18.35,18.59333333333333,18.52586666666663
18.35,18.584333333333333,18.531133333333294
18.09,18.566666666666666,18.532933333333297
18.62,18.566666666666666,18.53826666666663
17.82,18.540000000000003,18.53646666666663
18.62,18.549,18.539999999999964
19.42,18.557999999999996,18.548866666666633
18.89,18.557999999999996,18.554199999999966
18.62,18.558,18.555999999999965
18.35,18.558000000000003,18.554199999999966
17.82,18.504666666666665,18.548866666666633
17.82,18.469000000000005,18.5435333333333
18.09,18.460333333333338,18.53819999999997
18.89,18.496000000000002,18.53819999999997
18.09,18.47833333333334,18.53286666666664
18.35,18.47833333333334,18.529266666666636
18.35,18.460333333333335,18.525666666666638
19.15,18.477999999999998,18.527399999999975
17.82,18.45133333333333,18.520266666666643
18.89,18.469333333333335,18.51853333333331
19.42,18.496,18.520333333333312
18.35,18.477999999999998,18.51499999999998
18.62,18.477999999999998,18.511466666666646
18.62,18.477999999999998,18.50793333333331
18.62,18.49566666666667,18.504399999999976
18.62,18.486666666666668,18.50086666666664
18.35,18.495333333333335,18.49553333333331
18.62,18.495333333333335,18.491999999999972
18.35,18.477333333333334,18.48666666666664
18.35,18.477333333333334,18.481333333333307
18.62,18.486333333333334,18.479533333333304
18.62,18.49533333333334,18.479533333333308
18.62,18.513,18.479533333333308
18.35,18.504000000000005,18.475933333333305
18.89,18.53966666666667,18.47419999999997
18.62,18.53966666666667,18.477733333333305
19.15,18.530666666666672,18.481266666666638
19.15,18.539333333333335,18.49366666666664
18.09,18.52166666666667,18.49193333333331
18.62,18.53066666666667,18.490133333333308
18.89,18.566333333333333,18.49193333333331
19.15,18.610666666666663,18.497266666666643
18.35,18.619333333333334,18.498999999999977
18.62,18.610333333333337,18.500799999999973
18.62,18.628,18.502599999999976
18.62,18.637,18.507933333333305
18.62,18.645999999999997,18.511466666666642
18.35,18.61933333333333,18.509666666666643
18.89,18.654999999999998,18.51326666666664
18.89,18.654999999999998,18.51859999999997
18.62,18.628333333333334,18.522133333333304
18.62,18.637333333333334,18.522133333333304
18.89,18.646333333333327,18.525733333333303
18.89,18.65533333333333,18.5293333333333
18.62,18.65533333333333,18.532866666666635
18.35,18.646333333333335,18.534599999999966
18.89,18.664333333333335,18.538199999999968
18.89,18.673333333333336,18.539999999999967
18.35,18.673333333333336,18.53639999999997
18.89,18.691333333333333,18.539999999999967
18.35,18.682333333333336,18.539999999999967
18.89,18.691333333333333,18.539999999999964
18.35,18.682333333333336,18.538199999999964
18.89,18.700333333333337,18.538199999999964
18.62,18.691333333333333,18.536399999999965
19.15,18.709,18.5399333333333
18.09,18.67366666666667,18.5399333333333
18.89,18.665000000000003,18.543533333333297
18.62,18.682666666666666,18.5453333333333
18.89,18.691666666666666,18.5471333333333
18.89,18.691666666666663,18.550733333333298
19.42,18.700666666666663,18.559599999999964
18.62,18.709666666666667,18.56139999999996
18.62,18.709666666666667,18.564933333333297
19.15,18.72733333333333,18.57026666666663
18.35,18.71833333333333,18.57199999999996
18.89,18.72733333333333,18.573799999999963
18.62,18.73633333333333,18.575599999999962
18.62,18.727333333333334,18.573799999999963
18.35,18.709333333333333,18.573799999999963
19.15,18.726999999999997,18.580866666666626
19.42,18.753666666666664,18.587999999999962
19.15,18.762333333333334,18.589733333333296
18.89,18.762333333333334,18.593333333333298
18.35,18.753333333333334,18.589733333333296
19.15,18.779999999999998,18.595066666666632
18.89,18.779999999999998,18.59686666666663
18.89,18.779999999999998,18.602199999999964
17.82,18.762333333333334,18.598666666666634
18.35,18.744333333333334,18.595066666666636
18.89,18.762333333333334,18.598666666666634
18.89,18.76233333333333,18.602266666666633
19.68,18.806666666666665,18.612866666666637
18.89,18.806666666666665,18.618199999999966
19.15,18.824333333333332,18.621733333333303
18.62,18.806666666666665,18.627066666666636
19.95,18.86866666666667,18.635933333333305
19.15,18.877333333333333,18.642999999999976
19.15,18.894999999999996,18.64833333333331
19.15,18.903666666666663,18.651866666666646
18.62,18.894666666666662,18.651866666666646
18.62,18.868,18.650066666666643
18.89,18.876999999999995,18.653666666666645
18.89,18.885999999999992,18.658999999999978
19.15,18.886,18.662533333333315
18.62,18.894999999999996,18.664333333333314
18.62,18.885999999999992,18.66613333333331
18.62,18.885999999999992,18.666133333333313
18.89,18.894999999999992,18.66613333333331
18.62,18.903999999999993,18.666133333333313
19.15,18.903999999999996,18.669666666666647
18.35,18.86833333333333,18.667866666666647
18.89,18.859666666666666,18.67319999999998
18.89,18.859666666666662,18.67499999999998
18.89,18.877666666666663,18.678599999999978
18.62,18.86,18.676799999999975
19.15,18.868666666666666,18.67679999999998
19.15,18.87733333333333,18.678533333333313
18.89,18.912999999999997,18.68386666666665
18.89,18.930999999999997,18.687466666666644
19.42,18.948666666666664,18.69459999999998
19.68,18.97499999999999,18.701666666666647
19.15,18.957333333333327,18.70519999999998
19.42,18.97499999999999,18.710533333333316
19.15,18.974999999999998,18.714066666666653
18.89,18.983999999999995,18.717666666666652
18.62,18.939666666666664,18.71413333333332
19.15,18.939666666666664,18.715866666666656
19.42,18.94866666666666,18.72119999999999
19.15,18.94866666666666,18.726533333333325
19.42,18.975333333333325,18.726533333333325
19.68,19.01066666666666,18.73179999999999
18.62,19.00166666666666,18.733599999999992
18.89,19.00166666666666,18.740733333333324
18.62,18.983999999999995,18.740733333333324
18.35,18.974999999999998,18.740733333333324
18.89,18.983999999999998,18.74073333333332
18.62,18.983999999999998,18.74073333333332
18.89,18.983999999999998,18.742533333333323
18.35,18.975,18.742533333333323
18.35,18.948333333333334,18.740733333333324
18.62,18.957333333333338,18.738933333333325
19.68,18.983666666666668,18.745999999999988
18.62,18.974666666666668,18.745999999999988
19.15,18.983333333333334,18.75306666666666
18.89,18.99233333333333,18.75306666666666
19.15,18.99233333333333,18.76013333333333
19.15,18.99233333333333,18.76366666666666
18.89,18.99233333333333,18.76366666666666
18.89,18.99233333333333,18.767266666666657
18.62,18.965666666666667,18.76906666666666
19.42,18.956999999999997,18.776199999999992
19.68,18.97466666666666,18.786799999999992
18.62,18.947999999999997,18.786799999999992
19.42,18.956999999999997,18.79746666666666
19.15,18.965666666666664,18.800999999999995
19.15,18.98333333333333,18.799199999999995
19.68,19.000999999999994,18.80446666666666
19.95,19.018666666666665,18.81333333333333
18.89,19.009999999999998,18.816933333333328
18.89,18.992333333333328,18.82406666666666
19.42,18.98366666666666,18.83473333333333
18.89,18.99266666666666,18.84006666666666
19.42,19.01033333333333,18.843599999999995
19.42,19.036999999999995,18.85246666666666
19.15,19.063666666666663,18.857799999999997
18.89,19.063666666666663,18.861399999999993
19.15,19.08133333333333,18.861399999999993
19.95,19.116666666666667,18.875599999999995
19.15,19.14333333333333,18.87733333333333
18.89,19.16133333333333,18.873799999999996
19.68,19.196666666666662,18.882666666666662
18.89,19.17033333333333,18.88446666666666
19.42,19.196999999999996,18.889799999999997
18.89,19.18833333333333,18.891599999999997
18.89,19.18833333333333,18.8934
19.95,19.214999999999996,18.904066666666665
18.89,19.20633333333333,18.90586666666666
19.15,19.214999999999996,18.911199999999997
19.42,19.23266666666666,18.91833333333333
19.15,19.250333333333327,18.921866666666666
18.62,19.22366666666666,18.921866666666666
18.89,19.19733333333333,18.923666666666662
19.68,19.232666666666663,18.93253333333333
18.89,19.214999999999993,18.93253333333333
18.89,19.20633333333333,18.934333333333328
18.89,19.19766666666666,18.932599999999994
18.89,19.17133333333333,18.93086666666666
19.42,19.153666666666663,18.939733333333326
19.15,19.162333333333326,18.94326666666666
19.68,19.18866666666666,18.948533333333327
19.15,19.17966666666666,18.94853333333333
18.89,19.17966666666666,18.952133333333325
19.42,19.17966666666666,18.95746666666666
19.15,19.17066666666666,18.960999999999995
19.15,19.17066666666666,18.96453333333333
19.42,19.188333333333325,18.969866666666665
19.68,19.205999999999992,18.978733333333327
19.42,19.188333333333325,18.982266666666664
19.42,19.197333333333326,18.985799999999998
20.22,19.241666666666664,18.996466666666667
19.15,19.223999999999997,19.0
19.95,19.259333333333334,19.007066666666667
19.15,19.250333333333334,19.008800000000004
19.95,19.285666666666664,19.017666666666667
19.15,19.29433333333333,19.023000000000003
19.15,19.267666666666667,19.024733333333337
19.68,19.293999999999993,19.030000000000005
19.42,19.302999999999994,19.037133333333337
19.15,19.293999999999993,19.03886666666667
19.95,19.320666666666664,19.049533333333336
19.42,19.34733333333333,19.05306666666667
19.42,19.365,19.060200000000005
18.89,19.338666666666665,19.060200000000005
19.42,19.356333333333332,19.065533333333338
19.95,19.391666666666662,19.07086666666667
19.68,19.418,19.08146666666667
19.95,19.453333333333333,19.088533333333338
19.95,19.471,19.097400000000004
19.68,19.488666666666667,19.10266666666667
20.22,19.506666666666668,19.111533333333334
19.68,19.52433333333333,19.113266666666664
19.15,19.532999999999998,19.1168
19.15,19.523999999999997,19.120333333333335
19.68,19.541666666666664,19.123866666666665
19.68,19.559333333333328,19.13273333333333
19.42,19.55933333333333,19.136266666666668
19.68,19.559333333333328,19.143333333333334
19.95,19.576999999999995,19.1522
19.15,19.567999999999998,19.157533333333337
18.89,19.523666666666664,19.155800000000003
19.42,19.532666666666664,19.155800000000003
19.95,19.532666666666664,19.161133333333336
19.68,19.55033333333333,19.166400000000003
19.42,19.532666666666664,19.17353333333334
19.42,19.54166666666666,19.17533333333334
19.15,19.54166666666666,19.177066666666676
19.68,19.54166666666666,19.18233333333334
19.15,19.532666666666664,19.19120000000001
19.95,19.55933333333333,19.201866666666675
19.68,19.550333333333334,19.207133333333342
19.95,19.568,19.214200000000005
19.68,19.576666666666664,19.214200000000005
19.68,19.602999999999998,19.21946666666667
20.22,19.629666666666665,19.2266
19.68,19.62066666666666,19.233666666666668
20.22,19.638666666666666,19.235466666666667
20.22,19.64766666666667,19.2426
20.22,19.65666666666667,19.24973333333333
20.48,19.683333333333337,19.2586
20.75,19.701000000000004,19.2728
20.22,19.719,19.283466666666662
20.22,19.75466666666667,19.292333333333332
19.68,19.772333333333336,19.297599999999996
19.95,19.78133333333334,19.30293333333333
19.42,19.77266666666667,19.30826666666666
20.22,19.799333333333337,19.318933333333327
19.42,19.790666666666667,19.324266666666663
19.42,19.773000000000003,19.327799999999996
19.42,19.781999999999996,19.333133333333333
19.68,19.80833333333333,19.336666666666662
19.68,19.816999999999997,19.34553333333333
19.95,19.817,19.352599999999995
19.68,19.817,19.357866666666663
20.22,19.843666666666667,19.36673333333333
20.22,19.87033333333334,19.377399999999994
19.42,19.87933333333333,19.379199999999994
21.01,19.92366666666667,19.391599999999997
20.22,19.959333333333333,19.400466666666663
19.42,19.941666666666666,19.403999999999996
19.42,19.932999999999996,19.403999999999996
20.22,19.942000000000004,19.407599999999995
19.68,19.941999999999997,19.41113333333333
19.95,19.951,19.414666666666662
20.22,19.951000000000004,19.421799999999994
19.95,19.960000000000004,19.42886666666666
19.68,19.942000000000004,19.435933333333328
19.68,19.924,19.439466666666657
20.22,19.924000000000003,19.44479999999999
19.68,19.897333333333336,19.44833333333332
19.42,19.853,19.448333333333323
19.95,19.844,19.450133333333323
20.22,19.844,19.46079999999999
19.95,19.853,19.467866666666655
19.42,19.835333333333338,19.473199999999988
19.95,19.853000000000005,19.483866666666653
19.95,19.844,19.49093333333332
20.22,19.870666666666672,19.501599999999986
20.22,19.897333333333336,19.51046666666665
19.95,19.915000000000006,19.521133333333317
20.48,19.94166666666667,19.53533333333332
20.48,19.968333333333337,19.54773333333332
19.95,19.96833333333334,19.54953333333332
19.68,19.968333333333337,19.556599999999985
20.22,19.96833333333333,19.563733333333317
20.22,19.968333333333337,19.572599999999984
20.22,19.995,19.579733333333316
