RAW,Filter Short,Filter Long
36.1,36.1,36.1
36.1,36.1,36.1
36.0,36.06666666666667,36.06666666666667
36.1,36.075,36.075
36.0,36.06,36.06
36.1,36.06666666666667,36.06666666666667
36.1,36.07142857142857,36.07142857142857
36.0,36.0625,36.0625
36.1,36.06666666666667,36.06666666666667
36.1,36.07000000000001,36.07000000000001
36.0,36.06363636363637,36.06363636363637
36.1,36.06666666666667,36.06666666666667
36.1,36.06923076923078,36.06923076923078
36.0,36.064285714285724,36.064285714285724
36.0,36.06000000000001,36.06000000000001
36.0,36.056250000000006,36.056250000000006
36.1,36.05882352941177,36.05882352941177
36.1,36.06111111111112,36.06111111111112
36.0,36.057894736842115,36.057894736842115
36.0,36.05500000000001,36.05500000000001
36.0,36.05238095238096,36.05238095238096
36.0,36.050000000000004,36.050000000000004
36.0,36.047826086956526,36.047826086956526
36.0,36.04583333333334,36.04583333333334
36.0,36.044000000000004,36.044000000000004
36.0,36.042307692307695,36.042307692307695
36.0,36.040740740740745,36.040740740740745
36.1,36.04285714285715,36.04285714285715
36.1,36.0448275862069,36.0448275862069
36.0,36.04333333333334,36.04333333333334
36.1,36.04333333333334,36.04516129032258
36.0,36.04,36.04375
36.0,36.040000000000006,36.04242424242425
36.0,36.03666666666667,36.04117647058824
36.0,36.03666666666667,36.04
36.0,36.03333333333333,36.03888888888889
36.0,36.03,36.03783783783784
36.0,36.03,36.03684210526316
36.0,36.02666666666667,36.03589743589744
36.0,36.02333333333333,36.035000000000004
36.1,36.026666666666664,36.03658536585366
36.0,36.02333333333333,36.035714285714285
36.0,36.019999999999996,36.03488372093023
36.0,36.019999999999996,36.03409090909091
36.0,36.02,36.03333333333333
36.0,36.019999999999996,36.03260869565217
36.0,36.016666666666666,36.03191489361702
36.0,36.013333333333335,36.03125
36.0,36.013333333333335,36.03061224489796
36.0,36.013333333333335,36.03
36.0,36.013333333333335,36.029411764705884
36.0,36.013333333333335,36.02884615384615
36.0,36.013333333333335,36.028301886792455
36.0,36.013333333333335,36.02777777777778
36.0,36.013333333333335,36.027272727272724
36.0,36.013333333333335,36.026785714285715
36.0,36.013333333333335,36.026315789473685
36.0,36.01,36.025862068965516
36.0,36.00666666666667,36.02542372881356
36.0,36.00666666666667,36.025
36.0,36.00333333333333,36.02459016393443
36.0,36.00333333333333,36.024193548387096
36.0,36.00333333333333,36.023809523809526
36.0,36.00333333333333,36.0234375
36.0,36.00333333333333,36.02307692307692
36.0,36.00333333333333,36.02272727272727
36.0,36.00333333333333,36.02238805970149
36.0,36.00333333333333,36.02205882352941
36.0,36.00333333333333,36.02173913043478
36.1,36.00666666666666,36.02285714285714
36.0,36.00333333333333,36.0225352112676
36.0,36.00333333333333,36.02222222222222
36.0,36.00333333333333,36.02191780821918
36.0,36.00333333333333,36.02162162162162
36.0,36.00333333333333,36.02133333333333
36.0,36.00333333333333,36.02105263157895
